职位名称,职位链接,职位类别,人数,工作地点,发布时间
['25924-高级客户端开发工程师（深圳）'],['position_detail.php?id=39921&keywords=&tid=0&lid=0'],['技术类'],['1'],['深圳'],['2018-05-07']
['21085-CF手游游戏运营（深圳）'],['position_detail.php?id=39922&keywords=&tid=0&lid=0'],['产品/项目类'],['1'],['深圳'],['2018-05-07']
['21085-手工星球内容运营（深圳）'],['position_detail.php?id=39923&keywords=&tid=0&lid=0'],['产品/项目类'],['1'],['深圳'],['2018-05-07']
['21085-CFHD游戏策划（深圳）'],['position_detail.php?id=39924&keywords=&tid=0&lid=0'],['产品/项目类'],['1'],['深圳'],['2018-05-07']
['25925-智能AI高级产品经理（深圳）'],['position_detail.php?id=39898&keywords=&tid=0&lid=0'],['产品/项目类'],['1'],['深圳'],['2018-05-07']
['TEG05-高级FPGA工程师（深圳）'],['position_detail.php?id=39899&keywords=&tid=0&lid=0'],['技术类'],['1'],['深圳'],['2018-05-07']
['18302-UE4大世界手游资深客户端工程师（深圳）'],['position_detail.php?id=39901&keywords=&tid=0&lid=0'],['技术类'],['1'],['深圳'],['2018-05-07']
['27087-投后管理商业化产品经理（深圳）'],['position_detail.php?id=39889&keywords=&tid=0&lid=0'],['产品/项目类'],['1'],['深圳'],['2018-05-07']
['22968-国际日化销售经理（上海）'],['position_detail.php?id=39891&keywords=&tid=0&lid=0'],['市场类'],['1'],['上海'],['2018-05-07']
['WXG06-211 微信支付大数据运营经理（深圳）'],['position_detail.php?id=39892&keywords=&tid=0&lid=0'],['产品/项目类'],['1'],['深圳'],['2018-05-07']
['26564-移动终端应用开发工程师(深圳）'],['position_detail.php?id=39895&keywords=&tid=0&lid=0'],['技术类'],['1'],['深圳'],['2018-05-07']
['WXG10-143 后台策略安全高级工程师（广州）'],['position_detail.php?id=39885&keywords=&tid=0&lid=0'],['技术类'],['2'],['广州'],['2018-05-07']
['24491-王者荣耀全球版-手游服务器开发工程师'],['position_detail.php?id=39886&keywords=&tid=0&lid=0'],['技术类'],['2'],['深圳'],['2018-05-07']
['23672-腾讯新闻产业资讯运营编辑'],['position_detail.php?id=39888&keywords=&tid=0&lid=0'],['内容编辑类'],['1'],['北京'],['2018-05-07']
['SNG04-高级产品经理——账号体系（上海）'],['position_detail.php?id=39907&keywords=&tid=0&lid=0'],['产品/项目类'],['1'],['上海'],['2018-05-07']
['SNG04-高级产品经理——数据管理和分析（上海）'],['position_detail.php?id=39909&keywords=&tid=0&lid=0'],['产品/项目类'],['1'],['上海'],['2018-05-07']
['18302-Unreal4手游客户端资深开发工程师（深圳）'],['position_detail.php?id=39900&keywords=&tid=0&lid=0'],['技术类'],['1'],['深圳'],['2018-05-07']
['25926-NLP算法高级工程师（深圳）'],['position_detail.php?id=39902&keywords=&tid=0&lid=0'],['技术类'],['1'],['深圳'],['2018-05-07']
['OMG148-商务拓展经理（北京）'],['position_detail.php?id=39903&keywords=&tid=0&lid=0'],['内容编辑类'],['2'],['北京'],['2018-05-07']
['OMG148-平台产品运营（北京）'],['position_detail.php?id=39904&keywords=&tid=0&lid=0'],['内容编辑类'],['2'],['北京'],['2018-05-07']
['20503-优图技术实施工程师（上海）'],['position_detail.php?id=39905&keywords=&tid=0&lid=0'],['技术类'],['1'],['上海'],['2018-05-07']
['WXG06-211 微信支付平台产品运营经理（深圳）'],['position_detail.php?id=39893&keywords=&tid=0&lid=0'],['产品/项目类'],['1'],['深圳'],['2018-05-07']
['HY6-校园推广经理（深圳）'],['position_detail.php?id=39894&keywords=&tid=0&lid=0'],['市场类'],['1'],['深圳'],['2018-05-07']
['HY3-游戏直播数据分析（深圳）'],['position_detail.php?id=39896&keywords=&tid=0&lid=0'],['市场类'],['2'],['深圳'],['2018-05-07']
['27087-众创空间区域运营经理（成都）'],['position_detail.php?id=39857&keywords=&tid=0&lid=0'],['产品/项目类'],['1'],['成都'],['2018-05-07']
['15605-UE4客户端开发工程师（深圳）'],['position_detail.php?id=39859&keywords=&tid=0&lid=0'],['技术类'],['1'],['深圳'],['2018-05-07']
['15605-UE4 引擎开发工程师（深圳）'],['position_detail.php?id=39860&keywords=&tid=0&lid=0'],['技术类'],['1'],['深圳'],['2018-05-07']
['SNG16-全民K歌视频类新产品后台开发（深圳）'],['position_detail.php?id=39851&keywords=&tid=0&lid=0'],['技术类'],['3'],['深圳'],['2018-05-07']
['21309-企鹅辅导初高中物理教研教学老师（深圳）'],['position_detail.php?id=39853&keywords=&tid=0&lid=0'],['产品/项目类'],['1'],['深圳'],['2018-05-07']
['SNG11-AIOps应用/算法运维工程师（深圳）'],['position_detail.php?id=39855&keywords=&tid=0&lid=0'],['技术类'],['2'],['深圳'],['2018-05-07']
['27087-青腾大学课程架构经理（深圳）'],['position_detail.php?id=39856&keywords=&tid=0&lid=0'],['产品/项目类'],['1'],['深圳'],['2018-05-07']
['WXG03-122 小程序算法工程师（广州）'],['position_detail.php?id=39858&keywords=&tid=0&lid=0'],['技术类'],['3'],['广州'],['2018-05-07']
['24491-League Operations Manager（美国）'],['position_detail.php?id=39846&keywords=&tid=0&lid=0'],['产品/项目类'],['1'],['美国'],['2018-05-07']
['21309-平台用户运营经理（深圳）'],['position_detail.php?id=39848&keywords=&tid=0&lid=0'],['产品/项目类'],['1'],['深圳'],['2018-05-07']
['EC-高级web前端开发工程师（深圳）'],['position_detail.php?id=39876&keywords=&tid=0&lid=0'],['技术类'],['1'],['深圳'],['2018-05-07']
['EC-测试工程师'],['position_detail.php?id=39878&keywords=&tid=0&lid=0'],['技术类'],['1'],['深圳'],['2018-05-07']
['MIG16-车联网专项经理'],['position_detail.php?id=39879&keywords=&tid=0&lid=0'],['产品/项目类'],['1'],['北京'],['2018-05-07']
['MIG16-腾讯地图公交后台开发工程师'],['position_detail.php?id=39880&keywords=&tid=0&lid=0'],['技术类'],['1'],['北京'],['2018-05-07']
['22852-演播技术开发工程师'],['position_detail.php?id=39872&keywords=&tid=0&lid=0'],['技术类'],['1'],['北京'],['2018-05-07']
['EC-互联网课程策划'],['position_detail.php?id=39873&keywords=&tid=0&lid=0'],['产品/项目类'],['1'],['深圳'],['2018-05-07']
['EC-中小学校园平台产品经理'],['position_detail.php?id=39874&keywords=&tid=0&lid=0'],['产品/项目类'],['1'],['深圳'],['2018-05-07']
['EC-交互设计师'],['position_detail.php?id=39875&keywords=&tid=0&lid=0'],['设计类'],['1'],['深圳'],['2018-05-07']
['EC-后台开发工程师（深圳）'],['position_detail.php?id=39877&keywords=&tid=0&lid=0'],['技术类'],['1'],['深圳'],['2018-05-07']
['AQ-业务安全主管(广州)'],['position_detail.php?id=39867&keywords=&tid=0&lid=0'],['职能类'],['1'],['广州'],['2018-05-07']
['AQ-行业合作经理（北京）'],['position_detail.php?id=39868&keywords=&tid=0&lid=0'],['职能类'],['1'],['北京'],['2018-05-07']
['GH-智慧水务大数据工程师'],['position_detail.php?id=39869&keywords=&tid=0&lid=0'],['技术类'],['1'],['深圳'],['2018-05-07']
['GH-智慧给排水模型工程师'],['position_detail.php?id=39870&keywords=&tid=0&lid=0'],['技术类'],['1'],['深圳'],['2018-05-07']
['GH-智慧水务GIS开发工程师'],['position_detail.php?id=39871&keywords=&tid=0&lid=0'],['技术类'],['1'],['深圳'],['2018-05-07']
['15605-资深UE4技术美术（深圳）'],['position_detail.php?id=39861&keywords=&tid=0&lid=0'],['设计类'],['1'],['深圳'],['2018-05-07']
['15605-U3D客户端开发工程师（深圳）'],['position_detail.php?id=39862&keywords=&tid=0&lid=0'],['技术类'],['2'],['深圳'],['2018-05-07']
['WXG03-115 小程序 iOS 开发工程师（广州）'],['position_detail.php?id=39863&keywords=&tid=0&lid=0'],['技术类'],['2'],['广州'],['2018-05-07']
['WXG03-115 小程序 iOS 开发高级工程师（广州）'],['position_detail.php?id=39864&keywords=&tid=0&lid=0'],['技术类'],['2'],['广州'],['2018-05-07']
['AQ-业务安全主管(深圳)'],['position_detail.php?id=39865&keywords=&tid=0&lid=0'],['职能类'],['1'],['深圳'],['2018-05-07']
['AQ-业务安全主管(北京)'],['position_detail.php?id=39866&keywords=&tid=0&lid=0'],['职能类'],['1'],['北京'],['2018-05-07']
['21309-内容运营经理（深圳）'],['position_detail.php?id=39849&keywords=&tid=0&lid=0'],['产品/项目类'],['1'],['深圳'],['2018-05-07']
['21557-Sr. Researcher/Principal Researcher（美国）'],['position_detail.php?id=39850&keywords=&tid=0&lid=0'],['技术类'],['1'],['美国'],['2018-05-07']
['25928-视觉设计师（深圳）'],['position_detail.php?id=39852&keywords=&tid=0&lid=0'],['设计类'],['2'],['深圳'],['2018-05-07']
['MIG08-商务拓展经理(腾讯WiFi管家)（上海）'],['position_detail.php?id=39839&keywords=&tid=0&lid=0'],['产品/项目类'],['1'],['上海'],['2018-05-07']
['MIG08-商业化运营产品经理（广州）'],['position_detail.php?id=39841&keywords=&tid=0&lid=0'],['产品/项目类'],['1'],['广州'],['2018-05-07']
['23671-企鹅号平台产品经理（北京）'],['position_detail.php?id=39842&keywords=&tid=0&lid=0'],['产品/项目类'],['1'],['北京'],['2018-05-07']
['MIG08-Android基础开发（广州）'],['position_detail.php?id=39843&keywords=&tid=0&lid=0'],['技术类'],['1'],['广州'],['2018-05-07']
['TEG03-数据挖掘工程师（深圳）'],['position_detail.php?id=39844&keywords=&tid=0&lid=0'],['技术类'],['3'],['深圳'],['2018-05-07']
['TEG03-高级物联网研发工程师（深圳）'],['position_detail.php?id=39845&keywords=&tid=0&lid=0'],['技术类'],['2'],['深圳'],['2018-05-07']
['15612-手游后台开发工程师（深圳）'],['position_detail.php?id=39847&keywords=&tid=0&lid=0'],['技术类'],['1'],['深圳'],['2018-05-07']
